你和山田君处的怎么样了？|山田君とどうしたの？
结果，我们去了Monetto。|結局、モネットにいくことに。
在那里的话爱美小姐应该会稍微给我打点折。|あそこなら愛美さんが少しはおまけしてくれるはず。
咖啡厅么……|喫茶店か……
学姐也来如何？|先輩もどうですか？
诶。为什么？|え。なんで？
要问为什么，我也不知道|なんでって、なんとなく
那里红茶很好喝的|紅茶がおいしいんですよ
是么|ほう
烤饼也很好吃|スコーンも、おいしいんです
那个上面……莫非还有加生奶油么|それはまさか……生クリームもついているんじゃないでしょうね
不是生奶油|生クリームじゃありませんよ
加的是凝滞奶油|クロテッドクリームがついてます
！？|！？
欢迎光……|いらっしゃ……
见我身后陆续进来五人，爱美小姐目瞪口呆。|ぞろぞろと俺の後に五人も並んでいるのを見て、愛美さんが目を丸くしている。
你好，可能会把店里弄得有点吵，没问题吧……？|ども、店内、騒がしくなってもいいですか……？
噢噢，这么多人一起……|おお、大人数で……
愛美|愛美
倒是无所谓。反正之后这段时间也没多少客人会来。今天就为了庆祝文艺部的新开始，让你们包场吧|まぁいいわよ。こっからの時間帯、あんまりお客さん来ないし。今日は文芸部の新しい門出を祝って、貸し切りとしましょう
但是，记得要多点些东西哦|けど、いっぱい注文してね？
好、好的|は、はい
傍晚的咖啡店没有其他客人造访，在像是包场一样的店内，我们一边吃着点心一边聊着天。|夕方の喫茶店を訪れるお客さんは他になく、貸し切りみたいになった店内で、俺たちは、のんびりと軽食をつまみながら話したりした。
优雅地将烤饼送入口中的会长。|優雅にスコーンを口にする会長さんとか。
已经完全混熟，欢谈着女孩子话题的姬野和新堂。|すっかり打ち解けて、ガールズトークに花を咲かせる姫野さんと新堂とか。
无论在哪里都不怎么能闹腾起来的，我和凉介。|どこでもさして盛り上がらない、俺と涼介とか。
甚至连爱美小姐都关心我们说可以更热闹一点，总感觉，真是场闲散的聚会」|もっと騒いでも良いよと愛実さんが気を遣うほど、なんだか、まったりとした会合だった。
但是，我却莫名地觉得，这样很舒适。|けど、俺にはそれがなんだか、心地よかった。
咦……已经完全暗下来了呢|あれ……すっかり暗くなっているわね
真的。差不多该散了吧|ほんと。そろそろ解散ね
那么，回家吧|じゃぁ、帰ろうか
等等，时间已经晚了，我送你们吧|待って、遅くなったから送って行くわ
怎么好意思，太麻烦你了|そんな、悪いですよ
不行。我有作为大人的责任。可不能在这样的时间让女孩子就这么回去|ダメよ。大人としての責任があるわ。こんな時間に女の子をそのまま帰すわけにはいかないから
但我的车是运动车，只能坐三个人|だけど、私の車ってスポーツカーで、三人しか乗れないのよ
你开的什么车啊|どういう車乗ってるんですか
诶嘿嘿。喜欢的东西就是喜欢没办法嘛|えへへ。好きなものは好きだからしょうがない
真是个搞不懂的人。|読めない人だ。
啊，不过三人也就是说……|あ、でも三人ってことは……
会有一个女生落单呢|女の子が一人あぶれちゃう計算になるわね
是啊……|そうですね……
于是，小洸你准备送谁？|で、こーちゃんは誰を送ってくれるの？
诶诶！？为什么啊|ええ！？なんでですか
因为，不能让女孩子一个人回家对吧|だって、女の子を一人帰らせるわけにはいかないでしょう
愛美|愛美
这倒是没错|そうでしょうけど
那，你选谁？|で、誰？
诶诶诶。|えええ。
……|……
总感觉，有种不可思议的气氛。|なんか、不思議な空気が流れる。
姬野呆呆地看着这边。|姫野さんはきょとんとこちらを見てるし。
新堂不知为何一脸僵硬的表情瞪着我。|新堂はなぜかこわばった顔で、にらんでるみたいだし。
不知是不是错觉，会长好像在坏坏地微笑。|会長さんは気のせいか、にやにやと、微笑んでいるし。
怎么办？|どうしよう？
姬野，我送你吧|姫野さん、送るよ
诶|え
是在公园附近来着……你家|公園の近くだっけ……家
没错没错|そうそう
那到途中都是一路啊。我送你回去吧|じゃぁ、途中まで一緒だね。送って行くよ
谢谢。那就，拜托咯|ありがとう。じゃぁ、お願いしようかな
……虽然最近像这样走的时候不少，但小时候，没有过这个时间两人还在一起的情况啊。|……最近、こうして歩くことが多いけど、子供の頃だって、こんな時間に二人でいることは、なかったな。
不，只有一次。|いや、一度だけ。
记得那个时候是……去看海……|確かあの時は……海を……
感觉今天，天空好漂亮呢|今日はなんだか、空が綺麗だね
姬野出神地仰望着天空说道。|と、姫野さんがぼんやりと空を仰ぎながら口にする。
天空？|空？
想着夜空还分漂不漂亮么，抬头一看……便完全明白了姬野想要说的是什么。|夜の空にきれいもなにもあるのかなと思って見上げて……姫野さんの言いたいことがよくわかった。
啊，真的|あ、ほんとだ
是因为没有云么。或者说是，还有什么其他理由么。|雲が無いせいか。あるいは、他にも理由があるのか。
天空中，有着比平时更多的星星。|空には、いつもよりたくさんの星が見えた。
简直就像，要坠落下来一样。|まさに、降ってきそうなぐらい。
呐呐。要不要，稍微绕点路去公园？|ねぇねぇ。ちょっと、公園に寄って行かない？
诶|え
星咏台公园位于能够一览山边小城的丘陵上。|星詠台公園は、山の手の町を一望できる丘の上にある。
姬野的家就在这附近。|姫野さんの家はこの近くだ。
这里的海拔比学校所在的地方还要高，延伸到海边的城镇能一览无余。|学園がある場所よりも標高は高く、海まで続く町が一望できた。
并且正如其名，这个公园远离城镇的灯火，能够在更近的地方，看到更亮的星星。|それにその名の通り、町の明かりから離れて、より星を明るく、近くに見ることが出来る。
就是个让人会有这种感觉的地方。|そんな気がする場所だった。
新堂，我送你吧|新堂、送るよ
诶，不用啦。国见君和我家是在反方向啊|え、いいよ。國見君と私の家って逆だし
这点小事就不要在意了|そんなの関係ないから
